PassengerId,KNN
0001_01,0.64
0002_01,0.08
0003_01,0.16
0003_02,0.36
0004_01,0.08
0005_01,0.24
0006_01,0.48
0006_02,0.8
0007_01,0.56
0008_01,0.96
0008_02,0.96
0008_03,0.12
0009_01,0.08
0010_01,0.2
0011_01,0.12
0012_01,0.16
0014_01,0.24
0015_01,0.28
0016_01,0.76
0017_01,0.68
0017_02,0.12
0020_01,0.8
0020_02,0.8
0020_03,0.8
0020_04,0.6
0020_05,0.8
0020_06,0.6
0022_01,0.24
0024_01,1.0
0025_01,0.32
0026_01,0.08
0028_01,0.32
0030_01,0.4
0031_01,0.08
0031_02,0.68
0031_03,0.32
0034_01,1.0
0035_01,0.2
0036_01,0.4
0038_01,0.24
0039_01,0.76
0041_01,0.76
0043_01,0.08
0044_01,0.76
0044_02,0.76
0044_03,0.76
0045_01,0.08
0045_02,0.76
0050_01,0.16
0051_01,0.24
0052_01,0.04
0053_01,0.76
0056_01,0.92
0056_02,1.0
0056_03,0.2
0058_01,0.8
0061_01,0.24
0062_01,0.24
0064_01,0.8
0064_02,0.8
0066_01,0.2
0067_01,0.8
0067_02,0.84
0067_03,0.28
0068_01,0.04
0069_01,0.08
0070_01,0.08
0071_01,0.24
0072_01,0.08
0073_01,0.12
0074_01,0.44
0076_01,0.28
0077_01,0.16
0078_01,0.16
0081_01,0.8
0082_01,0.12
0082_02,0.76
0082_03,0.68
0084_01,0.04
0085_01,1.0
0086_01,0.08
0088_01,0.8
0090_01,0.8
0091_01,0.8
0091_02,0.56
0092_01,0.16
0092_02,0.76
0092_03,0.76
0097_01,0.16
0098_01,0.36
0098_02,0.2
0099_01,0.12
0099_02,0.76
0101_01,0.76
0102_01,0.24
0103_01,0.44
0103_02,0.8
0103_03,0.8
0105_01,0.04
0107_01,0.48
0108_01,0.8
0108_02,0.28
0108_03,0.6
0110_01,0.08
0110_02,0.4
0110_03,0.08
0110_04,0.96
0111_01,1.0
0112_01,0.36
0113_01,0.72
0114_01,0.24
0115_01,0.76
0116_01,0.08
0119_01,0.16
0119_02,0.96
0120_01,0.76
0122_01,0.24
0123_01,0.24
0126_01,0.8
0127_01,0.2
0128_01,0.08
0128_02,0.4
0129_01,0.8
0133_01,0.8
0133_02,0.08
0134_01,0.8
0136_01,0.08
0138_01,0.76
0138_02,0.16
0139_01,1.0
0140_01,0.76
0140_02,0.12
0141_01,0.16
0144_01,0.84
0146_01,0.6
0147_01,0.8
0148_01,0.08
0149_01,0.8
0151_01,0.76
